Section,Offence,Penalty,Description,Bailable
65,Tampering documents stored within a computer system,Imprisonment of 3 years or a fine of Rs. 2 lakhs or both,"This section deals with intentional alteration, deletion, or manipulation of computer source documents. It targets unauthorized interference with system files or code. Such actions compromise system integrity and reliability.",Bailable
66,Offences associated with computers or any act outlined in Section 43,Imprisonment of 3 years or a fine that extends to Rs. 5 lakhs or both,"Covers acts like hacking, data theft, introducing viruses, or damaging systems. It builds on Section 43 but adds criminal liability when intent or dishonesty is involved. Widely used in cybercrime cases.",Bailable
66B,Dishonestly receiving a stolen computer source or device,Imprisonment for 3 years or a fine of Rs. 1 lakh or both,Targets individuals who knowingly receive stolen digital devices or data. Similar to receiving stolen property under IPC but applied to digital assets. Focus is on dishonest intent.,Bailable
66C,Identity theft,Imprisonment of 3 years or a fine of Rs. 1 lakh or both,"Involves misuse of someone’s digital identity such as passwords, digital signatures, or biometric data. Common in phishing and online fraud. Protects personal digital credentials.",Bailable
66D,Cheating by personation,Either imprisonment for 3 years or a fine of Rs. 1 lakh or both,"Applies when someone impersonates another person online to commit fraud. Includes fake profiles, scam emails, or impersonation in financial transactions. Frequently seen in online scams.",Bailable
66E,Invading privacy,Either imprisonment up to 3 years or a fine of Rs. 2 lakhs or both,"Deals with capturing, publishing, or transmitting private images without consent. Focus is on violation of bodily privacy using digital means. Relevant in cases of voyeurism and misuse of images.",Bailable
66F,Cyber terrorism,Life imprisonment,Covers acts threatening national security using computer resources. Includes attacks on critical infrastructure or attempts to destabilize the nation. Considered one of the most serious cyber offences.,Non-Bailable
67,Sending explicit or obscene material in electronic form,Imprisonment of 5 years and a fine of Rs. 10 lakhs,"Targets publishing or transmitting obscene content online. Applies to websites, social media, and messaging platforms. Focus is on public morality and digital content regulation.",Non-Bailable
67A,Sending material containing sexually explicit acts through electronic means,Imprisonment of 7 years and a fine of Rs. 10 lakhs,"Stronger provision than Section 67, specifically for sexually explicit content. Addresses distribution of explicit videos or acts. Penalty is more severe due to gravity of content.",Non-Bailable
67B,Depicting children in sexually explicit form and sharing such material,Imprisonment of 7 years and a fine of Rs. 10 lakhs,"Deals with child pornography and exploitation. Includes browsing, downloading, or distributing such content. Highly stringent due to protection of minors.",Non-Bailable
67C,Failure to preserve and retain the information by intermediaries,Penalty upto Rs. 25 lakhs,Applies to intermediaries like ISPs or platforms failing to retain data as required. Important for investigation and evidence collection. Ensures accountability of digital service providers.,Bailable
68,Failure to comply orders of the Controller,Penalty upto Rs. 25 lakhs,Covers non-compliance with directions issued by the Controller of Certifying Authorities. Ensures regulatory oversight of digital certification processes. Applies to authorized entities.,Bailable
69,"Failure to intercept, monitor or decrypt data as per government instructions",Imprisonment for 7 years and a fine,Applies when entities refuse lawful government orders for surveillance or decryption. Important for national security and law enforcement. Non-compliance leads to strict punishment.,Non-Bailable
69A,Failure to block public access of information as per government instructions,Imprisonment for 7 years and a fine,Deals with non-compliance in blocking websites or content as ordered by government. Commonly used for banning harmful or illegal content. Ensures enforcement of digital restrictions.,Non-Bailable
69B,Failure to monitor and collect traffic data for cyber security,Imprisonment for 1 year or a fine of Rs. 1 crore,Focuses on failure to assist government in monitoring traffic data for cybersecurity. Helps in threat detection and prevention. Heavy financial penalty reflects importance.,Non-Bailable
70,Secures access or attempts to secure access to a protected system,Imprisonment for 10 years and a fine,Applies to unauthorized access to critical systems declared as protected. Includes government or strategic infrastructure systems. Considered a serious breach.,Non-Bailable
71,Misrepresentation to the Controller or Certifying Authority,Imprisonment for 2 years or a fine of Rs. 1 lakh or both,Covers providing false information to obtain digital certificates or approvals. Undermines trust in digital authentication systems. Focus is on integrity of certification.,Bailable
72,Breach of confidentiality and privacy,Penalty of Rs. 5 lakhs,Targets unauthorized disclosure of information accessed during official duties. Applies to professionals handling sensitive data. Protects confidentiality obligations.,Bailable
72A,Disclosure of information in breach of lawful contract,Penalty of Rs. 25 lakhs,Deals with sharing personal information in violation of contractual agreements. Common in corporate or service provider contexts. Ensures data protection compliance.,Bailable
73,Falsely publishing electronic signature certificate,Imprisonment for 2 years or a fine of Rs. 1 lakh or both,Applies when fake or unauthorized digital signature certificates are issued or published. Impacts trust in digital transactions. Focus is on authenticity.,Bailable
74,Publication for fraudulent purposes,Imprisonment for 2 years or a fine of Rs. 1 lakh or both,Covers use of digital certificates or publications with intent to defraud. Includes misuse of credentials for illegal gain. Ensures accountability in digital communications.,Bailable
