sectionNumber,act,offenceName,description,category,maxPunishmentYears,bailable,compoundable,requiresSurety,allowsPersonalBond,fineApplicable,deathPenaltyPossible,lifeImprisonmentPossible
NDPS 15,NDPS Act,Poppy straw contravention,Illegal handling of poppy straw; punishment varies by quantity.,DRUG_OFFENCE,20,False,False,False,False,True,False,False
NDPS 16,NDPS Act,Coca plant/leaves,Illegal cultivation or handling of coca plant/leaves.,DRUG_OFFENCE,10,False,False,False,False,True,False,False
NDPS 17,NDPS Act,Prepared opium,Illegal manufacture or handling of prepared opium; quantity-based punishment.,DRUG_OFFENCE,20,False,False,False,False,True,False,False
NDPS 18,NDPS Act,Opium/opium poppy,Illegal cultivation or handling of opium; quantity-based punishment.,DRUG_OFFENCE,20,False,False,False,False,True,False,False
NDPS 19,NDPS Act,Embezzlement of opium,Licensed cultivator illegally diverts opium.,DRUG_OFFENCE,20,False,False,False,False,True,False,False
NDPS 20,NDPS Act,Cannabis,Illegal cultivation or handling of cannabis; quantity-based punishment.,DRUG_OFFENCE,20,False,False,False,False,True,False,False
NDPS 21,NDPS Act,Manufactured drugs,Illegal handling of manufactured drugs; quantity-based punishment.,DRUG_OFFENCE,20,False,False,False,False,True,False,False
NDPS 22,NDPS Act,Psychotropic substances,Illegal handling of psychotropic substances; quantity-based punishment.,DRUG_OFFENCE,20,False,False,False,False,True,False,False
NDPS 23,NDPS Act,Illegal import/export,Cross-border trafficking of narcotic drugs.,DRUG_OFFENCE,20,False,False,False,False,True,False,False
NDPS 24,NDPS Act,External dealings,Unauthorized international drug trade.,DRUG_OFFENCE,20,False,False,False,False,True,False,False
NDPS 25,NDPS Act,Allowing premises,Allowing premises for drug offence; punishment same as main offence.,DRUG_OFFENCE,20,False,False,False,False,True,False,False
NDPS 25A,NDPS Act,Contravention of control orders,Violation of government control orders.,DRUG_OFFENCE,10,False,False,False,False,True,False,False
NDPS 26,NDPS Act,Acts by licensee,Non-compliance with license obligations.,DRUG_OFFENCE,3,False,False,False,False,True,False,False
NDPS 27,NDPS Act,Consumption,Personal consumption of drugs.,DRUG_OFFENCE,1,True,False,False,True,True,False,False
NDPS 27A,NDPS Act,Financing illicit traffic,Financing or harboring drug trafficking.,DRUG_OFFENCE,20,False,False,False,False,True,False,False
